id,listing_id,comments
1075818,24671810,paola was super nice the check in was easy and short the apartment was really clean and we had our privacy the only thing we did not like was the neighborhood because as two woman we didn t feel safe walking alone at night but everything in the apartment was good and paola was lovely
735392,15726550,mimosa s flat was exactly as described and pictured i didn t meet mimosa but she did give me amazing recommendations on things to do near the flat also this flat is in the perfect location for any london getaway the flat is in chelsea within walking distance to the natural history museum a must see as well as kensington gardens king s road and loads of pubs and restaurants the underground is a 5 minute walk away and on the district circle and piccadilly lines making it super easy to get to from the airport or anywhere in london great value and great location
1112797,26933941,overall trip was great location to transportation was great great pub down the street with awesome fish and chips very quiet area i mean no disrespect to the host and consumers/travelers need to know what expect when dealing with this particular host after traveling for 15 hours and arriving at a location which was provided in the emails no one was present on our arrival and it started to rain we waited for almost an hour at this location hoping she would arrive and let us in as we did not know what else to do or expect we had no wifi to contact our host to gain entry because she was not there to greet us we asked a passing local who was kind enough to text our host and she did not reply to the text as we saw this person approximately 20 minutes later coming back in the opposite direction we initially saw her going we had to walk with all of our heavy and cumbersome luggage in the rain to a pub down the street who was kind enough to let us use their phone to call our host she then gave us the correct address which was in the opposite direction of which the initial address location was provided and did not have an answer as to why the address in all communications was incorrect she told us she had been waiting for two hours for us at the flat which makes no sense as we did communicate with her at the airport upon arrival as the airport had wifi for us to do so she then gave us a combination to a lockbox that was incorrect to obtain the key she told us there were two combinations to this particular lock box and as a realtor for 10 years in the unites states and dealing with this same brand of lock box i knew this was inaccurate so back to the pub in the rain to call her again and she gives us a different combination which did work her accent is very heavy and difficult to understand her the gutter leaks above the front door at the entryway which makes it slippery so be careful watch out for possible mail on the floor when you enter overall the flat is small and pleasant and there are a few things to be aware of not enough towels only one towel per person provide by the host no hand towels no wash cloths no paper towels or napkins no fan for those random hot days hair dryer has no plug adapter so bring your own and it can only be used in the kitchen since there is no outlet in the bathroom in the bathroom the shower is a nerve racking experience due to the water flowing out into the rest of the bathroom a squeegee is provided and honestly who wants to have to constantly be concerned about the water flowing into the rest of
1058087,23874390,stunning apartment in east london with lovely decor and some great features steven s hosting company was excellent - punctual responsive and friendly we had a lovely stay and highly recommend this place
1125887,27846809,had a very nice stay here excellent location for visiting london
687437,14671029,beautiful flat for an extremely reasonable price no charge for extra guests and flexible cancellation made it almost seem to good to be true one of the best airbnb airbnb flats i have stayed in would highly recommended
706926,15057481,tom s place is great -the house is beautiful the bedroom excellent with everything you need and stunning views from your private bathroom the kitchen fully equipped and tom is a super nice guy easy going and friendly we really liked the area -we could get to london bridge in just 10 minutes by train there are good restaurants around as the donde place that tom kindly recommended to us and nice walks to do as well we would definitely stay in tom&kate s home again thank you guys
936473,20232177,if you manage to find a booking for this flat consider yourself lucky brilliant condo with one sick terrace haggerston station is just 2min away the host and team is super friendly and i would definitely look into booking the flat for my next trip to london
813549,17525963,posizione ottima la casa accogliente e arredata finemente esperienza positiva e consigliata
941075,20371157,responsive helpful and accommodating - and has two beautiful cats to boot
725624,15493514,great location not far from paddington station ali provided clear instructions of picking up the key and was easily contactable
931712,20128457,sam is a very good communicator everything went very smoothly the location is very good you are literally a stone s throw away from everything you might need shops restaurants pubs the house itself very nice and cosy especially if you like rugby you are at the right place admiring all the photos and the relics
834621,17917322,wir durften wundervolle tage in london verbringen aber besonders sch n war die ankunft in diesem sch nen kleinen haus wir wurden herzlichst begr t und unser gastgeber nahm sich viel zeit auch bekamen wir wertvolle tips f r unseren aufenthalt die unterkunft ist in einer traumhaften lage perfekt gelegen und wunderbar eingerichtet jederzeit wieder
939286,20302128,perfect 2 bedroom flat in a wonderful location easy access to the underground easy check-in/out much better than a hotel room
876831,18902926,the apartment is sparkling clean and across the street from a bus stop
1087564,25230360,i stayed with my mum at roy s place roy is a caring and very friendly host his flat is clean and close tho public transport facilities i can definetly recommend his flat for a stay in london thank you roy for being such a great and friendly host
803622,17291644,what a great place in a really nice and safe area i d give it 10 stars if they d let me
885708,19135841,nadia s apartment is huge well-equiped not far from shops and public traffic nadia is a fantastic host she should help us in everything she can i ve never met such pleasure host like her here i would also thank you for everything to her and her husband
732206,15627040,sam was very discreet which enabled us to have a super private and restful stay a cosy little flat in a lovely side of town great bus links and nearby restaurants/coffee shops thank you
1033961,22944292,nothing to complain the room is clean and tidy the community is quiet and tidy the owner is kind and nice one big mirror one desk one wardrobe one chair one bed lamp so the room is well prepared i get guide accommodation from the owner also a slightly embarrassing experience due to my language barrier and cultural barrier when mr tried to provide help but he is patient and has a good temper
1033940,22944292,great stay great location nothing compares to the kindness of sammy ipob
1072230,24508620,our family of 4 2 children aged 5 and 2 stayed in robert s apartment for 4 nights positives the apartment is in a great location particularly for families 2 tube stations close by short walk to kensington gardens and many restaurants as well as supermarkets in the area parking is also available if needed it is a very spacious apartment equipped with washing machine and dishwasher robert was very responsive in his communication when we needed him we had a few issues that could easily be rectified - the kitchen is not well equipped no microwave as advertised not enough bowls and no sharp knives - only 2 towels were provided initially but the additional towels were provided when i requested - the wifi was very slow and dropped out - we had an issue with the gas supply this was addressed and robert refunded our first nights accommodation promptly to compensate us
1116146,27182695,great accomodation if you re looking for a cheap place to stay in east literally a minute to bethnal green tube station with the central line i d recommend
974741,21209348,the apartments was wonderful everything was clean the building was great and highly secured with few seconds walking to the underground station the apartment owner was very professional in communication this apartment will be definitely be my choice everytime i visit london
1127856,28012695,quick responses clean value for money everything pretty much on the doorstep or a short bus ride or walk away
874122,18831843,un accueil chaleureux de la part de elisabeth petite maison tr s confortable la chambre priv e est spacieuse a 5 minutes pied du m tro on arrive tr s vite au centre de londres je recommande fortement
1096115,25835272,we stayed here recently my husband 4yr old and i we had a great stay we wanted to stay in peckham specifically to experience south london mainly for the food and to stay away from tourist traps the authentic indian kurdish jamaican and middle eastern food didn t disappoint there are also some great coffee shops with excellent coffee super easy access to the train line a beautiful and bright apartment with greenery everywhere and the most comfy towels
769488,16557564,catherine is a warm and welcoming host attentive to making sure that i had all the information i needed and that i had a comfortable stay the house is under renovation but the finished room i stayed in was clean comfy and beautiful located right next to a bus stop it s a great location for transport connections thanks catherine
