,id,name,summary,space,description,experiences_offered,neighborhood_overview,notes,transit,access,interaction,house_rules,host_id,host_since,host_about,host_response_time,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,zipcode,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,price
0,24671810,Lovely Room with Private bathroom in Tower Hill,Fantastic flat,,Fantastic flat Living room  Kitchen  Bedroom  Bathroom I live there with my husband and my lovely cat.  No visitors,none,,I live there with my husband and my lovely cat.  No visitors,,Living room  Kitchen  Bedroom  Bathroom,,Visitors no,13627321,2014-03-28,"You are very welcome to come and stay in my place...

 I love this area of London and I'm sure you will too. I'm a great host and look forward to making your stay unforgettable. 

I understand you are busy and know how stressful it can be to find a decent place to live in London that also fits your budget.
 

 ",within an hour,97%,f,t,f,Tower Hamlets,E1 0EW,51.50967575935274,-0.05999085152201115,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,Wifi,Kitchen,Elevator,Heating,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,""Host greets you""}",,100.0,25.0,2,0.0,2,strict_14_with_grace_period,f,f,57.0
1,15726550,1 bedroom flat in South Kensington/Chelsea,"The flat has a perfect location near by South Kensington Tube Station (Piccadilly, District and Circle lines), and walking distance to Natural History Museum, King’s Road, Saatchi Gallery and Harrold’s. Lovely neighborhood in between South Kensington and Chelsea!","Flat contains hallway, spacious bedroom, bathroom and kitchen with gas stove and electric oven (no microwave). All normal amenities are available in the flat and with an airbed can accommodate couple extra persons!","The flat has a perfect location near by South Kensington Tube Station (Piccadilly, District and Circle lines), and walking distance to Natural History Museum, King’s Road, Saatchi Gallery and Harrold’s. Lovely neighborhood in between South Kensington and Chelsea! Flat contains hallway, spacious bedroom, bathroom and kitchen with gas stove and electric oven (no microwave). All normal amenities are available in the flat and with an airbed can accommodate couple extra persons!",none,,,,,,,20475917,2014-08-24,,within an hour,100%,f,t,f,Kensington and Chelsea,SW3 6QJ,51.49294966650577,-0.17146285056989355,f,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,Wifi,Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",Essentials,Hangers,""Hair dryer"",Iron,""Hot water"",Other}",,,10.0,1,0.0,4,moderate,f,f,104.0
2,26933941,Beautiful studio flat in heart of NOTTING HILL,"Beautiful studio flat in heart of Notting Hill, with very comfortable bed and lovely calm energy in the flat. Very cosy and perfect for relaxing time in London. Shops 5 min walk from the flat, bus stop outside of the flat and tube is 7 min walk ( Notting Hill gate) Please be aware every day from 7.30 am - 15.00 flat below is having construction work which is very noisy.",,"Beautiful studio flat in heart of Notting Hill, with very comfortable bed and lovely calm energy in the flat. Very cosy and perfect for relaxing time in London. Shops 5 min walk from the flat, bus stop outside of the flat and tube is 7 min walk ( Notting Hill gate) Please be aware every day from 7.30 am - 15.00 flat below is having construction work which is very noisy. Shops, local attractions",none,"Shops, local attractions",,,,,- no high heals please - floor can be damage,202661086,2018-07-16,,within an hour,60%,f,t,f,Westminster,W2,51.51579819387921,-0.19644229025559695,t,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{Wifi,Kitchen,""Pets allowed"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Private entrance"",""Host greets you""}",,,15.0,1,0.0,2,flexible,f,f,110.0
3,23874390,Stylish 2BR East End Flat Next To Regents Canal,"Very central property located close to fabulous transport links, restaurants, Olympic Park, Canary Wharf, open green spaces and Shoreditch. The flat is located in a historical warehouse in a conservation area, with 2 bedrooms, 2 baths and a lovely open kitchen, dining and living room. A perfect place for up to 4 people looking to stay on a quiet street, still just minutes to the centre of London and surrounding areas. Perfect for families and business travellers alike, with access to the City.","Only available this Summer, our Scandi flat has recently been refurbished to a high standard which will guarantee a happy and comfortable stay.  It is located on the 3rd floor which is accessible via the lift or stairs. The flat has direct and uninterrupted views across the park to Canary Wharf, which is a really nice London view.  This Art Deco Warehouse has a lot of historical significance. It remained standing during the Blitz in World War 2 and Princess Diana’s wedding veil was made in the building by the Emanuels. Original features can still be seen in the flat such as the windows and the exposed brick work.  The flat has a completely open outlook, which is rare in Central London, where most properties are overlooked by neighbours! CORRIDOR You walk through a safe security front door, to enter into an unfussy corridor, with large cupboard, where you could store coats and suitcases.  The slate floor has underfloor heating and this extends through to the kitchen.  All the rooms of t","Very central property located close to fabulous transport links, restaurants, Olympic Park, Canary Wharf, open green spaces and Shoreditch. The flat is located in a historical warehouse in a conservation area, with 2 bedrooms, 2 baths and a lovely open kitchen, dining and living room. A perfect place for up to 4 people looking to stay on a quiet street, still just minutes to the centre of London and surrounding areas. Perfect for families and business travellers alike, with access to the City. Only available this Summer, our Scandi flat has recently been refurbished to a high standard which will guarantee a happy and comfortable stay.  It is located on the 3rd floor which is accessible via the lift or stairs. The flat has direct and uninterrupted views across the park to Canary Wharf, which is a really nice London view.  This Art Deco Warehouse has a lot of historical significance. It remained standing during the Blitz in World War 2 and Princess Diana’s wedding veil was made in the bu",none,"This flat is located next to Mile End Park and the Regent's Canal. There are lovely places to go on a warm sunny day to relax, take a walk and have a picnic.  There are many coffee shops and restaurants in the area, as well as supermarkets.   Everything is within walking distance.   The area is steeped in history, and the Ragged School Museum, the original Barnardo School, is very close by and it was one of the 3 buildings still standing on this street after the Blitz  (including ours)!  The famous Whitechapel Gallery is a 7 minute journey away on District Line and exhibits contemporary art from around the world. There is also a cafe and bookshop here. The V&A Museum of Childhood is a 15 minute bus ride away. It’s the UK’s National Museum of Childhood, the largest institution of its kind in the world. Its mission is to hold in trust the nation’s childhood collections and to be an international leader in engaging audiences in the material culture and experiences of childhood. Canary Wha","Please note: our standard check in times are between 3pm - 10pm. Check out is by 10am. If you wish to check in or check out outside these hours please let us know. This is subject to availability, but we are very flexible.","This stylish flat is in a fabulous location in terms of being able to get around London quickly and easily.  Mile End: 8 minute walk ( Central line, District and Hammersmith and City lines) Oxford Circus is 15 mins away by tube, and Liverpool St station just 4 mins away, again by tube.  We used to work in Canary Wharf and Liverpool St, and we used to walk to work every day, so this is the perfect location for business travellers.  Queen Mary University is literally a 5 minute walk up the Canal. Central Line runs throughout the night every weekend, and it takes you to Holborn, British Museum, in 12 minutes.  Oxford Circus being 15 minutes away.  Hyde Park is a couple of stops further. District Line will take you to the famous Exhibition Road just off South Kensington in 29 minutes, or you could get off a stop earlier at Sloane Square for King's Road.  Or a quick walk up to Harrods.   A quick walk down the canal will take you to Limehouse DLR, from where you can get to London City Airpor","Guests have complete access to the flat. The cleaning and laundry is provided by a professional company, so it is done to a hotel standard.  We are on hand to provide any further assistance, as we live very locally.  Full details will be provided at check-in.","When I’m not there, you will be hosted by a professional hospitality company who I’ve engaged to look after you in my absence. They are on call to attend to your every need, as I would be.",- Please note our house rules:  - -All guests are required to present their passport or drivers license in person as part of the check in process - -There must be at least one adult over the age of 21 in your group - -You may not have the majority of people in your group under the age of 21 (dependant children excepted),9507891,2013-10-18,"We have lived in the East End for nearly two decades, but travel frequently to Scandinavia, where the Mrs is from as well as to Spain and Italy.  We tend to either stay with family and/or friends, as this is far more personal and sociable.  We have also enjoyed staying in Airbnb properties ourselves, especially since we have become parents.  The extra space, as well as access to a washing machine do come in handy.  ",,,t,t,f,Tower Hamlets,E3 4RT,51.5198964443246,-0.036960860130627576,t,Loft,Entire home/apt,4,2.0,2.0,2.0,Real Bed,"{TV,Internet,Wifi,Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Children’s books and toys"",""Hot water"",""Bed linens"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Patio or balcony"",""Host greets you"",""Paid parking on premises""}",,100.0,80.0,4,0.0,2,flexible,f,f,115.0
4,27846809,5min walk from st Pancras and king cross station.,"Lovely COSY 1 bedroom apartment in the heart of Kings Cross & a short walk to Russel Sq.  Ready for 4 GUESTS. Located next to King's Cross/St Pancras/Eurostar, RUSSELL SQ & the British Museum. Quite, safe neighborhood with grocery stores, cafes & restaurants nearby THE LIST IS TRULY ENDLESS. Great transport links to facilitate travel all across London! PERFECT FOR FAMILIES WITH KIDS, COUPLES, GROUPS, SOLO ADVENTURES OR BUSINESS TRAVELERS that want to discover London from a CENTRAL AND WELL CONNECTED  LOCATION.","5 min from st Pancras international station .underground ,Overground,bus stop only 5 min from home . Flat situated in zone 1 . Central London 10 min by train .Or 20 min walk. Restaurant,pubs and shops just arround the corner.","Lovely COSY 1 bedroom apartment in the heart of Kings Cross & a short walk to Russel Sq.  Ready for 4 GUESTS. Located next to King's Cross/St Pancras/Eurostar, RUSSELL SQ & the British Museum. Quite, safe neighborhood with grocery stores, cafes & restaurants nearby THE LIST IS TRULY ENDLESS. Great transport links to facilitate travel all across London! PERFECT FOR FAMILIES WITH KIDS, COUPLES, GROUPS, SOLO ADVENTURES OR BUSINESS TRAVELERS that want to discover London from a CENTRAL AND WELL CONNECTED  LOCATION. 5 min from st Pancras international station .underground ,Overground,bus stop only 5 min from home . Flat situated in zone 1 . Central London 10 min by train .Or 20 min walk. Restaurant,pubs and shops just arround the corner. Once in our COSY apartment,  You will have the whole apartment to yourselves, with equipped kitchen, wide screen smart TV .washing machine , and more.  The apartment has a double room with a lovely double bed, and a  living room with an a comfort sofabed Pho",none,"Kings Cross international train station services Europe, while Kings Cross underground station includes all interconnecting tube lines. Kings cross offers a massive variety of high end, up market as well as easily affordable restaurants, pubs and clubs all within easy walking distance of the apartment. The Kings Cross Regents canal brings a tranquil feel to a vibrant location within a few minutes’ walk of the apartment. Breath",,"Kings cross and St Pancras international station is a five minute walk from the appartment, with access to several different tube lines  traveling around london is extremely simple and easy.  Getting around London is much easier if you get an ""oyster"" card which offers you massive discount on each and every journey. All Londoners use an ""oyster"" card, you can pick one up at any station and start saving straight away the first time you use it.","Once in our COSY apartment,  You will have the whole apartment to yourselves, with equipped kitchen, wide screen smart TV .washing machine , and more.  The apartment has a double room with a lovely double bed, and a  living room with an a comfort sofabed",Phone .txt or email,,180423005,2018-03-25,,within an hour,100%,f,t,f,Camden,WC1X 9JF,51.53048898957554,-0.1197000138695622,t,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,Wifi,Kitchen,Elevator,Heating,Washer,""Smoke detector"",Essentials,Shampoo,Hangers,""Hair dryer"",""Host greets you""}",,,30.0,1,0.0,1,flexible,f,f,100.0
5,14671029,"BRIGHT, SPACIOUS FLAT OVERLOOKING VICTORIA PARK.","Spacious, luxury flat situated in great location overlooking the beautiful Victoria Park. Few minutes walk to thriving Hackney Wick and canalside bars/ bistros and Olympic Village. Also Hackney Overground- Stratford Underground/ Westfield Shopping Centre. Walking distance to Shoreditch, Bethnal Green, Broadway Market, Hoxton, Columbia Rd Flower Market, Museum of Childhood. Fantastic views, outdoor space, and a great ambiance of surrounding areas. Excellent for couples and families (with kids).",,"Spacious, luxury flat situated in great location overlooking the beautiful Victoria Park. Few minutes walk to thriving Hackney Wick and canalside bars/ bistros and Olympic Village. Also Hackney Overground- Stratford Underground/ Westfield Shopping Centre. Walking distance to Shoreditch, Bethnal Green, Broadway Market, Hoxton, Columbia Rd Flower Market, Museum of Childhood. Fantastic views, outdoor space, and a great ambiance of surrounding areas. Excellent for couples and families (with kids).",none,,,,,,There are two double bedrooms and we can provide an extra foldup bed if required.,33685773,2015-05-18,,,,t,t,f,Tower Hamlets,E9,51.54343729678956,-0.030837345325015177,t,Apartment,Entire home/apt,5,1.0,2.0,3.0,Real Bed,"{TV,""Cable TV"",Wifi,Kitchen,Elevator,Heating,""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Wide doorway"",""Well-lit path to entrance"",""Step-free access"",""Step-free access"",""Handheld shower head""}",,300.0,30.0,4,10.0,1,flexible,f,f,115.0
6,15057481,Bright double room in period house,"Our home is placed within 5 min walk to Crofton Park National Rail (serving central London in 18 minutes)also a 15min walk from Honour Oak, and a 5 min walk from Crofton Park high street, both of which have amazing, independent restaurants and great atmospheres. It is surrounded by green spaces (Hilly Fields, Blythe Hill, Ladywell Fields).  It is a very peaceful, pleasant and quiet area, but still within a quick train journey to central London - giving you the best of both worlds!","A modern double bedroom (with a modern ensuite attached) located in a period house - best of both worlds! Although only 18mins from central London, it is surrounded by parks and green spaces.","Our home is placed within 5 min walk to Crofton Park National Rail (serving central London in 18 minutes)also a 15min walk from Honour Oak, and a 5 min walk from Crofton Park high street, both of which have amazing, independent restaurants and great atmospheres. It is surrounded by green spaces (Hilly Fields, Blythe Hill, Ladywell Fields).  It is a very peaceful, pleasant and quiet area, but still within a quick train journey to central London - giving you the best of both worlds! A modern double bedroom (with a modern ensuite attached) located in a period house - best of both worlds! Although only 18mins from central London, it is surrounded by parks and green spaces. My wife and I live here also (with our border terrier puppy, Milo!) but your room is at the top of the house and so very private. You will have private use of the ensuite connected to your room, as well as access to the living room, dining area, kitchen and garden.  We have shared our home on Airbnb for over 5 years and ",none,Close proximity to central London (18 min train) but surrounded by green spaces and independent restaurants in an area that has a real 'village' feel to it.,My wife will be away on business from end of October to January and so only Tom will be living in the house during that time.,"Our house is a 5min walk to Crofton Park train station (direct trains to Blackfriars (18 mins) and kings cross st Pancras (25min)), a 10 min walk to catford train station with excellent direct links to London Bridge, Waterloo, Charing Cross and Cannon Street, or a 15 min walk to Honour oak train station with direct trains to Victoria, as well as also the London Overground with direct trains to Canada Water and Shoreditch.  Drop a pin on a map of London and chances are you can reach it very easily from our house!","My wife and I live here also (with our border terrier puppy, Milo!) but your room is at the top of the house and so very private. You will have private use of the ensuite connected to your room, as well as access to the living room, dining area, kitchen and garden.  We have shared our home on Airbnb for over 5 years and consider ourselves great hosts who are sociable and personable!",We are happy to share a glass of wine over dinner - and consider the lounge and kitchen area communal spaces while you are here - so make yourself at home. We also have a border terrier puppy called Milo who is very well behaved and he will only interact with you to the extent you want! He doesn't have access to your room.  We have quite busy work schedules so you would also have privacy if you wish.,Please just treat our house with respect!  And use tablemats please!!,14086610,2014-04-09,"We are a friendly and personable married couple hosting in a lovely period house. I am a lawyer and Kate works in retail at luxury jewellery . 

We like cooking and travelling, and meeting new people and sharing experiences/stories. We are house proud, and as such will ensure that your room is always clean and tidy on your arrival, and will always be available (whether by phone or in person) if you have any questions whilst staying with us. ",within a day,100%,f,t,t,Lewisham,SE4,51.44961643042474,-0.03256134782629988,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,Wifi,Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49""}",,150.0,,1,0.0,2,strict_14_with_grace_period,f,f,35.0
7,20232177,Stylish 2bed 2bath w/ Amazing Terrace in E.London,"Welcome to my home!!  My beautifully designed modern flat, floor to ceiling windows, on the 8th floor of this glass elegant building, with a massive south-facing terrace offering amazing views across London. Just a 2 minute walk to Haggerston Station &  within 10 minutes walk of Broadway Market and London Fields. 15 minutes to trendy Shoreditch & 20 mins to OXFORD CIRCUS & KING'S CROSS.  With the whole of London at your finger tips your bound to have an amazing stay!!","Welcome to my home and welcome to this amazing city! This is a beautiful 2 bedroom flat.  Let me walk you through it a little more... The apartment has a really spacious and colourful living room which has a real family feel to it. There is a comfy sofa, where you can it back, relax and turn on the flat screen TV. The TV has freeview. If cooking a gourmet meal at home is more your thing, then rest assured the kitchen will have everything you need in it such as all the basic condiments, and as an added extra we make sure that there is also always plenty of tea, coffee and sugar so that you can make yourself a traditional British cuppa in the morning! There are also all the mod-cons such as toaster and dishwasher that you might expect. We really want to ensure that you have a comfortable stay here in London! There are 2 bedrooms in the house. The master bedroom has a king sized bed, bedroom number two has a double. All the bedrooms are spacious with plenty of storage space for guests to ","Welcome to my home!!  My beautifully designed modern flat, floor to ceiling windows, on the 8th floor of this glass elegant building, with a massive south-facing terrace offering amazing views across London. Just a 2 minute walk to Haggerston Station &  within 10 minutes walk of Broadway Market and London Fields. 15 minutes to trendy Shoreditch & 20 mins to OXFORD CIRCUS & KING'S CROSS.  With the whole of London at your finger tips your bound to have an amazing stay!! Welcome to my home and welcome to this amazing city! This is a beautiful 2 bedroom flat.  Let me walk you through it a little more... The apartment has a really spacious and colourful living room which has a real family feel to it. There is a comfy sofa, where you can it back, relax and turn on the flat screen TV. The TV has freeview. If cooking a gourmet meal at home is more your thing, then rest assured the kitchen will have everything you need in it such as all the basic condiments, and as an added extra we make sure t",none,"The flat overlooks Haggerston Square, which offers a few amenities: - Pharmacy opened 9-6 Mon-Fri across the road - Fish and Chips opened 7 days a week (until 9 pm) across the road - Organic shop opened 7 days a week (until 10pm) across the road - Police station - Off-license opened 6 days a week - Laundry and Launderette opened 6 days a week - Tesco opened 7/11 every day by the station, where there is a cash point too - lovely park in front of the building (Stonebridge gardens) - Church next to the park. Regarding cafes and restaurants you will have 2 pubs at about 2 minutes walking distance (The Fox, very young and busy, or the Duke of Wellington, typical old British pub) - loads of restaurants and take away within 5 minutes walking distance. Particularly, there is a strip of Vietnamese restaurants on Kingsland road, a few places in the railway arches, several pizza places on Broadway market and loads of restaurants in Dalston and alone the canal. My favourite ones are:  1. Bella Vit","There is no aircon in the flat as is the case with 99.9% of the flats in London. We don't need it here as we only get about 3 weeks of warm weather here. For warm days, we can provide a fan Guests staying for more than 30 nights will be required to pay a further £80 for a mid-stay clean. CHECKOUT PROCEDURE: LEAVE KEYS IN EXTERNAL MAILBOX","Overground is a stone thrown away. Two stops from popular Shoreditch and one from Dalston. Three stops and you are either at Islington (Victoria Line), or Whitechapel (District and Circle line). The overground also connect to the DLR and the Jubilee Line. If you prefer, you can take the main buses on Kindgsland Road (149 to London Bridge, 242 to St Paul, 243 to Waterloo, 67 to Aldgate). Please note the Overground will be part of the night tube from December 2017 and some 149 works the whole night. Hackney is famous for being a trendy and bustling area of London with loads of great restaurants and exciting things to do. Here are some suggestions! The Rosemary Branch is an award-winning pub that was once a Victorian music hall and is now a local favourite, just across the road from the apartment. As well as delicious food there is a small theatre which is worth checking out. Another popular pub is the De Beauvoir Arms, located on the border of Islington and Hackney. Head here for good fo","The apartment is your own.  Cleaned professionally with fresh luxury linens, it's prepared for each new visitor.","My friends at Hostmaker are looking after my home while I am away. They are an Airbnb management service team who know London and Airbnb like the back of their hand! I trust them to give you a warm welcome! Hostmaker will look after you. If you have any questions about your stay, please get in touch through the Airbnb platform.","- Please no high heels on the wooden floor or shoes on the carpet in the bedroom. - Please just be respectful of the neighbours, and do let us know if they are not respectful of you (if there is any noise, etc). - Please, if the plants on the patio look dry, could you water them? there is a hose outside. Thanks! - Guests must present ID during check-in - Nobody under 25 years old - Please take care of my home!",144160455,2017-08-03,,within an hour,100%,t,t,f,Hackney,E8,51.539017417544926,-0.07512154557436032,f,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,"{TV,Wifi,Kitchen,""Paid parking off premises"",Elevator,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",Bathtub,""Hot water"",""Bed linens"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,""Patio or balcony"",""Host greets you""}",,0.0,80.0,1,0.0,3,strict_14_with_grace_period,f,f,100.0
8,17525963,Splendid and comfortable modern flat in Battersea,My flat has been recently done. It has an open plan with a really comfortable and cool breakfast bar.  All appliances are state of the art. You can get to Central London in about 25 by an easy bus ride or tube. Two comfortable double bedrooms with original features but in the comfort of a new place.,"It's comfortable and welcoming, everyone who has stayed or visited loves it.   The flat is superbly located for easy access to Central London, Battersea Power Station and Clapham.  It's literally on Wandsworth Road with its buzzing nature and conveniences.  All appliances are state of the art, including: - Double Oven (Grill and fan) NEFF - Microwave/Grill NEFF - Dishwasher - Toaster - Kettle and Cafetiere - Crokery and Cutlery - Garden with Cctv for your security and safety - Double glazed windows and French doors to the garden The bathroom has a rain-forest head shower and hand shower; it also includes a sensor activated heated mirror (with lighting and plug for shaving machine or electric toothbrush).","My flat has been recently done. It has an open plan with a really comfortable and cool breakfast bar.  All appliances are state of the art. You can get to Central London in about 25 by an easy bus ride or tube. Two comfortable double bedrooms with original features but in the comfort of a new place. It's comfortable and welcoming, everyone who has stayed or visited loves it.   The flat is superbly located for easy access to Central London, Battersea Power Station and Clapham.  It's literally on Wandsworth Road with its buzzing nature and conveniences.  All appliances are state of the art, including: - Double Oven (Grill and fan) NEFF - Microwave/Grill NEFF - Dishwasher - Toaster - Kettle and Cafetiere - Crokery and Cutlery - Garden with Cctv for your security and safety - Double glazed windows and French doors to the garden The bathroom has a rain-forest head shower and hand shower; it also includes a sensor activated heated mirror (with lighting and plug for shaving machine or electri",none,"Conveniently located to be near the centre of town or the greens and lively atmosphere of Clapham. The flat is next to Wandsworth Road, which is a buzzing main road in London.",Wifi included and there's a Sonos you get to use :),Very convenient public transport. Really well connected.  Nearest stations are Vauxhall and Stockwell.  Buses 77/87 and P5 leave you outside the property.,"Usual things, on request also controlled zone parking and washing room (you need to cover the cost of permit and detergent).",As much as required by email or text.,"The House Rules: I expect guests to behave with politeness and consideration towards the host and the flat.  I expect guests to be honest and upfront about the purpose of their visit and the number of people staying in the property. Should things change before arrival, I ask my guests to communicate these promptly and without delay. Any misleading statements would result in an immediate cancellation of the booking without notice. For couples it is assumed that only one bedroom is going to be used given financial and environmental costs of laundry.  Any extra people staying from those disclosed in the booking will have to pay the additional charge. TOILET IN THE BATHROOM The one next to the walking shower is a macerator toilet.  Only flush small portions of toilet paper.  ANYTHING ELSE, such as tampons, sanitary towels, female pads, blades, caps, condoms, etc WILL BLOCK THE TOILET. SONOS You are welcome to use the sonos speaker on the kitchen counter.  To use it, please download the son",15008247,2014-05-02,I love travelling and meeting new places and new cultures whilst also going back to those I enjoying most.,,,f,t,t,Lambeth,SW8,51.47460348937985,-0.13447601123839525,f,Apartment,Entire home/apt,5,1.5,2.0,3.0,Real Bed,"{Wifi,Kitchen,""Paid parking off premises"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Paid parking on premises""}",,350.0,55.0,3,45.0,2,strict_14_with_grace_period,f,f,95.0
9,20371157,Double Room (Penthouse Apt with Garden Balcony),"Clean, cosy and spacious room in a quiet neighbourhood - just a short distance from the centre of London. Your light & spacious room comes with a King Size Bed, a large double wardrobe & drawers, a smart TV, as well as blackout blinds, which will hopefully combine to give you a restful night's sleep in preparation for the day ahead! Bed linen, towels & toiletries will be supplied for the duration of your stay and breakfast will be available each morning.","The apartment has superfast WiFi Broadband with speeds up to 100 Mb and includes unlimited uploads/downloads. The kitchen is equipped with kettle, toaster, espresso machine, microwave, washing machine, tumble dryer, oven and hob. The bathroom is sleek and modern with bath, a rainfall/waterfall shower and a mist proof mirror. Towels, shampoo, shower gel, toilet paper are provided at no extra cost.","Clean, cosy and spacious room in a quiet neighbourhood - just a short distance from the centre of London. Your light & spacious room comes with a King Size Bed, a large double wardrobe & drawers, a smart TV, as well as blackout blinds, which will hopefully combine to give you a restful night's sleep in preparation for the day ahead! Bed linen, towels & toiletries will be supplied for the duration of your stay and breakfast will be available each morning. The apartment has superfast WiFi Broadband with speeds up to 100 Mb and includes unlimited uploads/downloads. The kitchen is equipped with kettle, toaster, espresso machine, microwave, washing machine, tumble dryer, oven and hob. The bathroom is sleek and modern with bath, a rainfall/waterfall shower and a mist proof mirror. Towels, shampoo, shower gel, toilet paper are provided at no extra cost. As a welcomed guest, you will have full access to your bedroom, the bathroom, the kitchen, the living & dining room, and also the outdoor gar",none,"Bow is unique in some respects being a quiet residential retreat from the hustle and bustle of London, yet is on the doorstep of the lively and vibrant areas of Stratford, Canary Wharf/Docklands and Bricklane/Shoreditch.","PLEASE note that I have two cats, they are very well-behaved and will not bother you - unless you want them to play with you, in which case they'll be very happy! They are not log haired cats and do not shed, but if you have an allergy to cat hair - then this may not be the place for you. Check-in is from 6 PM on weekdays due to work commitments, but I am fully flexible at weekends.","The apartment is well situated and ideal for business and leisure travellers alike with great transport links. There are two Docklands Light Railway (DLR) stations and two District Line stations approximately 5 minutes walk away, and Mile End is a 10 to 15 minute walk away, providing access to the Central Line which takes you into the centre of London inc. Liverpool Street, St Paul's and Oxford Circus, and other interchange locations. There is also access to a very extensive bus network within 5 minutes walk.","As a welcomed guest, you will have full access to your bedroom, the bathroom, the kitchen, the living & dining room, and also the outdoor garden balcony.  You are welcome to use the washing machine/tumble dryer and detergent & fabric softener are provided free.","My interaction with you will be on your terms - if you fancy just being left alone to come and go as you please, then that is perfectly fine - but if you would like a cup of tea/coffee and a chat about travel, London life or anything else that takes your fancy I'm only too happy to oblige.",Please keep all shared areas clean and tidy. No guests. Please keep all noise to a minimum after 11pm.,145296955,2017-08-10,,,,t,t,f,Tower Hamlets,E3 4DQ,51.52633517114014,-0.01851019076706292,f,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Wifi,Kitchen,""Free parking on premises"",Breakfast,""Pets live on this property"",Cat(s),Elevator,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Hot water"",""Bed linens"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Step-free access"",""Accessible-height bed"",""Step-free access"",""Accessible-height toilet"",""Step-free access"",""Host greets you"",""Hot water kettle""}",,0.0,10.0,1,0.0,1,flexible,f,f,34.0
